Ticket_final,Fecha aviso incidencia_final,Categoria de incidencia_final,Tipo Incidencia_final,Tipo de producto_final,Descripcion_final,Operador_final,Distrito_final,Cantidad de clientes afectados_final,Clientes afectados_final,Criticidad Incidencia_final,Tipo de trabajo_final,Reportado Por_final,tipo_cliente_final,Operador_orig_final,Reportado Por_orig_final,outlier_Cantidad de clientes afectados_final,missing_Cantidad de clientes afectados_final,miss_tipo_producto,miss_operador_orig,miss_cantidad_clientes,miss_tipo_cliente
TCK_80909B010C,10/10/24 6:00,Corte de fibra,PEXT,FTTH,CTO_C0047 TRONCAL_TE789AB9840 HILO ROTO EN DIVICAU_D0004,<CLIENT_02>,DIST_010,2.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,1,0,0,1,0
TCK_EAC9CB282F,10/21/2024 6:00 AM,Sin potencia,PEXT,FTTH,VERTICAL <ADDRESS>,<CLIENT_02>,DIST_010,2.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,1,0,0,1,0
TCK_1DAC77547F,11/14/2024 12:45 PM,Sin potencia,PEXT,FTTH,CTO SIN POTENCIA,<CLIENT_03>,DIST_009,2.0,Sí,Leve,Emergencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,1,0,0,1,0
TCK_3994C41F45,11/27/2024 7:00 AM,Corte de fibra,PEXT,FTTH,FIBRA DE 96H ROTA POR ROEDORES,<CLIENT_03>,DIST_010,2.0,Sí,Leve,Emergencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,1,0,0,1,0
TCK_5889AF58C1,12/02/24 6:00,Corte de fibra,PEXT,FTTH,RESTAURACION DE HILOS DE FIBRA OPTICA DANADAS POR ROEDOR. EN TRONCAL_TC13C6F35F1 DE DIST_012. <ADDRESS> CLIENTES AFECTADOS.,<CLIENT_03>,DIST_012,2.0,Sí,Leve,Emergencia,Internal Customer,Operador,<CLIENT_03>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_47B778465E,12/02/24 6:00,Corte de fibra,PEXT,FTTH,RESTAURACION DE HILOS DE FIBRA OPTICA DANADAS POR ROEDOR. EN TRONCAL_TC13C6F35F1 DE DIST_012. <ADDRESS> CLIENTES AFECTADOS.,<CLIENT_02>,DIST_012,2.0,Sí,Leve,Emergencia,Internal Customer,Operador,<CLIENT_02>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_20B9330F65,12/02/24 11:00,Sin potencia,PEXT,FTTH,<ADDRESS>_006. NO CUENTA CON POTENCIA. LIM-0017 DIST_006 CTO_C0009,<CLIENT_02>,DIST_006,0.0,No,Crítico,Correctivo,Internal Customer,Operador,<CLIENT_02>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_3A8A6D3888,12/02/24 12:30,Otros,PEXT,FTTH,CTO COLGANDO,<CLIENT_03>,DIST_009,0.0,No,Crítico,Correctivo,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,1,0,0,1,0
TCK_DF676FA8C1,12/21/2024 8:00 AM,Energía,PINT,FTTH,CORTE DE ENERGIA POR LLAVE BAJA DEL SUMINISTRO,<CLIENT_03>,DIST_009,539.0,Sí,Crítico,Emergencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,True,0,0,0,0,0
TCK_62EBD0C5C0,12/24/2024 8:00 AM,Energía,PINT,FTTH,CORTE DE ENERGIA MASIVO,<CLIENT_03>,DIST_009,539.0,Sí,Crítico,Emergencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,True,0,0,0,0,0
